,Date,Target_FR12Mts,Class,XLF,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,0,,,,,,,,
1,1/1/1999,0.09,0,,,,,,,,
2,2/1/1999,0.11,0,19.674046,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.24661095472823027
3,3/1/1999,0.17,0,20.257921,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.31092888685987174
4,4/1/1999,0.09,0,,,,,,,,
5,5/1/1999,0.1,0,,,,,,,,
6,6/1/1999,0.06,0,,,,,,,,
7,7/1/1999,0.08,0,,,,,,,,
8,8/1/1999,0.15,0,,,,,,,,
9,9/1/1999,0.12,0,,,,,,,,
10,10/1/1999,0.04,0,,,,,,,,
11,11/1/1999,-0.05,1,,,,,,,,
12,12/1/1999,-0.11,1,19.30595,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.5352319105791993
13,1/1/2000,-0.02,1,,,,,,,,
14,2/1/2000,-0.1,1,,,,,,,,
15,3/1/2000,-0.22,1,19.712124,6.16,29.265625,26.734375,21.21875,150.375,9.63,0.8150494810133551
16,4/1/2000,-0.13,1,,,,,,,,
17,5/1/2000,-0.12,1,,,,,,,,
18,6/1/2000,-0.16,1,19.293257,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.9840456974299985
19,7/1/2000,-0.15,1,,,,,,,,
20,8/1/2000,-0.25,1,23.126524,5.87,24.921875,28.75,24.015625,152.34375,9.72,0.997848499016916
21,9/1/2000,-0.27,1,,,,,,,,
22,10/1/2000,-0.26,1,,,,,,,,
23,11/1/2000,-0.14,1,,,,,,,,
24,12/1/2000,-0.13,1,,,,,,,,
25,1/1/2001,-0.17,1,,,,,,,,
26,2/1/2001,-0.1,1,22.298944,5.23,26.530001000000002,31.969998999999998,26.639999,123.949997,10.12,0.8631370211308109
27,3/1/2001,-0.02,1,,,,,,,,
28,4/1/2001,-0.15,1,22.339561,5.05,27.299999,32.799999,25.200001,126.660004,10.02,0.8473817035265754
29,5/1/2001,-0.15,1,,,,,,,,
30,6/1/2001,-0.19,1,23.070675,4.95,27.67,31.15,24.309998999999998,122.599998,10.04,0.7626095241787204
31,7/1/2001,-0.25,1,,,,,,,,
32,8/1/2001,-0.2,1,21.340374,4.83,26.370001000000002,29.77,25.17,114.150002,10.27,0.5961197381986224
33,9/1/2001,-0.22,1,,,,,,,,
34,10/1/2001,-0.16,1,,,,,,,,
35,11/1/2001,-0.18,1,,,,,,,,
36,12/1/2001,-0.23,1,21.364744,4.64,28.6,28.030001000000002,25.4,114.300003,10.14,0.4989620435667713
37,1/1/2002,-0.24,1,,,,,,,,
38,2/1/2002,-0.24,1,,,,,,,,
39,3/1/2002,-0.26,1,,,,,,,,
40,4/1/2002,-0.15,1,21.49472,4.78,29.200001,26.469998999999998,25.129998999999998,107.860001,10.12,0.1961387118720845
41,5/1/2002,-0.1,1,21.429731,4.72,29.049999,26.25,24.85,107.220001,10.15,0.19047375960457724
42,6/1/2002,-0.01,1,,,,,,,,
43,7/1/2002,0.09,0,,,,,,,,
44,8/1/2002,0.11,0,,,,,,,,
45,9/1/2002,0.22,0,,,,,,,,
46,10/1/2002,0.19,0,18.326563,3.97,24.200001,18.24,20.559998999999998,88.519997,10.25,0.09174060949958716
47,11/1/2002,0.13,0,,,,,,,,
48,12/1/2002,0.26,0,,,,,,,,
49,1/1/2003,0.32,0,17.644192,4.23,22.34,18.700001,19.26,86.059998,10.34,0.04984635802304814
50,2/1/2003,0.35,0,17.099918,4.27,22.24,17.700001,18.67,84.900002,10.44,0.029983503062705547
51,3/1/2003,0.33,0,16.864338,4.34,22.73,18.4,18.57,84.739998,10.38,0.017939552299843467
52,4/1/2003,0.21,0,,,,,,,,
53,5/1/2003,0.16,0,,,,,,,,
54,6/1/2003,0.17,0,19.943136,4.84,27.09,22.120001000000002,20.16,97.629997,10.52,0.01794038980737596
55,7/1/2003,0.12,0,20.812347,4.87,27.59,20.639999,20.129998999999998,99.389999,10.13,0.03580124373402099
56,8/1/2003,0.1,0,20.568644,4.91,29.0,21.049999,20.469998999999998,101.440002,10.17,0.022273027356770007
57,9/1/2003,0.12,0,,,,,,,,
58,10/1/2003,0.08,0,,,,,,,,
59,11/1/2003,0.11,0,,,,,,,,
60,12/1/2003,0.09,0,,,,,,,,
