,Date,Target_FR12Mts,Class,XLK,HY,XLY,XLU,XLP,SPY,Prob
0,12/1/1998,0.19,1,,,,,,,
1,1/1/1999,0.09,1,,,,,,,
2,2/1/1999,0.11,1,34.0625,6.46,27.296875,28.671875,26.515625,123.5625,0.7525230619070492
3,3/1/1999,0.17,1,36.59375,6.57,28.59375,26.6875,26.4375,128.375,0.5850304499992123
4,4/1/1999,0.09,1,,,,,,,
5,5/1/1999,0.1,1,36.9375,6.57,28.015625,29.609375,25.25,130.203125,0.5398332602391346
6,6/1/1999,0.06,0,40.484375,6.56,29.78125,30.640625,25.59375,137.0,0.435069628383766
7,7/1/1999,0.08,0,,,,,,,
8,8/1/1999,0.15,1,,,,,,,
9,9/1/1999,0.12,1,,,,,,,
10,10/1/1999,0.04,0,42.5,6.24,28.390625,29.9375,24.828125,137.0,0.25540038990607095
11,11/1/1999,-0.05,0,,,,,,,
12,12/1/1999,-0.11,0,53.875,6.31,31.0625,28.140625,23.03125,146.875,0.13891835286956541
13,1/1/2000,-0.02,0,50.5625,6.27,27.203125,27.640625,23.234375,139.5625,0.1491652756881267
14,2/1/2000,-0.1,0,55.875,6.21,25.6875,24.28125,20.515625,137.4375,0.09754936037333006
15,3/1/2000,-0.22,0,,,,,,,
16,4/1/2000,-0.13,0,,,,,,,
17,5/1/2000,-0.12,0,,,,,,,
18,6/1/2000,-0.16,0,54.1875,5.87,25.59375,27.25,25.234375,145.28125,0.03299836434732635
19,7/1/2000,-0.15,0,,,,,,,
20,8/1/2000,-0.25,0,56.53125,5.87,24.921875,28.75,24.015625,152.34375,0.007156942064487755
21,9/1/2000,-0.27,0,,,,,,,
22,10/1/2000,-0.26,0,,,,,,,
23,11/1/2000,-0.14,0,34.75,5.13,23.96875,34.140625,27.640625,132.28125,0.10224772763197074
24,12/1/2000,-0.13,0,31.3125,5.18,25.59375,33.1875,28.5625,131.1875,0.13813344578790418
25,1/1/2001,-0.17,0,37.299999,5.34,28.57,31.32,26.48,137.020004,0.10430679808202155
26,2/1/2001,-0.1,0,,,,,,,
27,3/1/2001,-0.02,0,,,,,,,
28,4/1/2001,-0.15,0,28.809998999999998,5.05,27.299999,32.799999,25.200001,126.660004,0.21152198365386823
29,5/1/2001,-0.15,0,27.629998999999998,5.11,27.950001,33.029999,25.57,125.949997,0.2864268455192684
30,6/1/2001,-0.19,0,28.17,4.95,27.67,31.15,24.309998999999998,122.599998,0.29162537029243374
31,7/1/2001,-0.25,0,,,,,,,
32,8/1/2001,-0.2,0,,,,,,,
33,9/1/2001,-0.22,0,,,,,,,
34,10/1/2001,-0.16,0,,,,,,,
35,11/1/2001,-0.18,0,24.540001,4.61,27.4,27.370001000000002,26.0,114.050003,0.4496989505228906
36,12/1/2001,-0.23,0,,,,,,,
37,1/1/2002,-0.24,0,,,,,,,
38,2/1/2002,-0.24,0,,,,,,,
39,3/1/2002,-0.26,0,,,,,,,
40,4/1/2002,-0.15,0,,,,,,,
41,5/1/2002,-0.1,0,18.26,4.72,29.049999,26.25,24.85,107.220001,0.7065672630937405
42,6/1/2002,-0.01,0,,,,,,,
43,7/1/2002,0.09,1,,,,,,,
44,8/1/2002,0.11,1,14.2,4.14,24.92,21.5,21.469998999999998,91.779999,0.6641461346829364
45,9/1/2002,0.22,1,,,,,,,
46,10/1/2002,0.19,1,,,,,,,
47,11/1/2002,0.13,1,,,,,,,
48,12/1/2002,0.26,1,,,,,,,
49,1/1/2003,0.32,1,,,,,,,
50,2/1/2003,0.35,1,,,,,,,
51,3/1/2003,0.33,1,,,,,,,
52,4/1/2003,0.21,1,,,,,,,
53,5/1/2003,0.16,1,16.950001,4.68,26.74,22.01,20.059998999999998,96.949997,0.6886535428547392
54,6/1/2003,0.17,1,17.07,4.84,27.09,22.120001000000002,20.16,97.629997,0.7252704921567494
55,7/1/2003,0.12,1,,,,,,,
56,8/1/2003,0.1,1,,,,,,,
57,9/1/2003,0.12,1,,,,,,,
58,10/1/2003,0.08,0,,,,,,,
59,11/1/2003,0.11,1,,,,,,,
60,12/1/2003,0.09,1,,,,,,,
61,1/1/2004,0.04,0,,,,,,,
62,2/1/2004,0.05,0,,,,,,,
63,3/1/2004,0.04,0,,,,,,,
64,4/1/2004,0.04,0,19.389999,5.2,31.389999,23.280001000000002,23.18,110.959999,0.612252801417844
65,5/1/2004,0.06,0,20.15,5.05,31.59,23.559998999999998,23.049999,112.860001,0.502510193252752
66,6/1/2004,0.04,0,20.700001,5.08,31.629998999999998,23.76,23.09,114.529999,0.4407052371317967
67,7/1/2004,0.12,1,,,,,,,
68,8/1/2004,0.1,1,,,,,,,
69,9/1/2004,0.1,1,,,,,,,
70,10/1/2004,0.06,0,,,,,,,
