Date,BRC,GS,LR,Target_FR12Mts
12/1/2018,0.075223959,0,0.001757514,0.29
11/1/2018,0.236448379,0.0175,0.016068659,0.14
10/1/2018,0.272046946,0.011527778,0.016713226,0.12
9/1/2018,0.232437986,0.017916667,0.000584554,0.02
7/1/2018,0.266802453,0.038194444,0.003150275,0.06
6/1/2018,0.118290551,0,0.000558077,0.08
5/1/2018,0.167281582,0.003055556,0.002265432,0.02
4/1/2018,0.129795885,0,0.003531305,0.11
3/1/2018,0.151508008,0,0.02780373,0.07
2/1/2018,0.258421451,0.036527778,0.058378003,0.03
1/1/2018,0.613835413,0.991388889,0.183391382,-0.04
12/1/2017,0.583042484,0.91375,0.447775982,-0.06
11/1/2017,0.277611562,0,0.42227754,0.04
10/1/2017,0.271481906,0,0.383262876,0.05
8/1/2017,0.265360279,0,0.318197435,0.17
7/1/2017,0.277151956,0,0.230854612,0.14
5/1/2017,0.303054455,0,0.118745023,0.12
3/1/2017,0.203755168,0.000555556,0.186343229,0.12
2/1/2017,0.219686873,0.000555556,0.472049647,0.15
1/1/2017,0.096964344,0,0.14906854,0.24
12/1/2016,0.061084287,0,0.326523907,0.19
11/1/2016,0.061403079,0.001111111,0.127364602,0.2
10/1/2016,0.132516704,0.002222222,0.144235174,0.21
9/1/2016,0.092270491,0,0.092856019,0.16
8/1/2016,0.110612917,0.000555556,0.150975939,0.14
7/1/2016,0.093443619,0,0.060211262,0.14
6/1/2016,0.143703809,0.001666667,0.124581996,0.15
2/1/2016,0.118465762,0.000555556,0.030693491,0.22
1/1/2016,0.118306603,0.000555556,0.045864755,0.17
12/1/2015,0.112419981,0,0.052367403,0.1
11/1/2015,0.11351973,0,0.01868708,0.06
10/1/2015,0.155206194,0.002916667,0.058891297,0.02
9/1/2015,0.2379656,0.007777778,0.034296312,0.13
8/1/2015,0.232188392,0.012083333,0.066318766,0.09
7/1/2015,0.32858391,0.007083333,0.153456265,0.03
6/1/2015,0.395125721,0.006944444,0.161613734,0.02
4/1/2015,0.842385503,0.904444444,0.276940449,-0.01
3/1/2015,0.6631217,0.239861111,0.064350653,0
2/1/2015,0.712546671,0.690555556,0.135955313,-0.08
1/1/2015,0.775345112,0.976527778,0.402353722,-0.03
12/1/2014,0.811109761,0.827222222,0.579218063,-0.01
11/1/2014,0.721991092,0.295416667,0.715806447,0.01
10/1/2014,0.674344356,0.175138889,0.340815472,0.04
9/1/2014,0.652859711,0.8425,0.267009133,-0.03
8/1/2014,0.779854804,0.947916667,0.121872908,-0.01
7/1/2014,0.30316759,0.008888889,0.093120718,0.09
5/1/2014,0.430433747,0.049444444,0.14363055,0.1
4/1/2014,0.283718365,0.010416667,0.138174376,0.11
2/1/2014,0.252611303,0.001805556,0.012543323,0.13
1/1/2014,0.100298451,0,0.018111077,0.12
12/1/2013,0.147451265,0.000555556,0.022819589,0.11
11/1/2013,0.107687695,0,0.020841264,0.14
10/1/2013,0.110878015,0,0.014955208,0.15
9/1/2013,0.068320485,0,0.008148717,0.17
8/1/2013,0.064473019,0.000972222,0.018007657,0.23
7/1/2013,0.09543328,0.00125,0.030407838,0.14
6/1/2013,0.064997513,0.000972222,0.020759624,0.22
4/1/2013,0.147747725,0,0.023550476,0.18
3/1/2013,0.101676831,0,0.029661398,0.19
2/1/2013,0.084916483,0.000833333,0.021711001,0.23
1/1/2013,0.093815746,0.000833333,0.016284114,0.19
12/1/2012,0.109592427,0.000972222,0.009504019,0.3
11/1/2012,0.113440293,0.001944444,0.011801529,0.27
10/1/2012,0.109070672,0.001388889,0.015074416,0.24
9/1/2012,0.084663776,0.002361111,0.019834178,0.17
8/1/2012,0.04624128,0,0.021169385,0.16
7/1/2012,0.03337477,0,0.031333564,0.23
6/1/2012,0.025585756,0.000416667,0.019053804,0.18
5/1/2012,0.041831335,0.000555556,0.008454814,0.24
4/1/2012,0.028296399,0,0.01405884,0.14
3/1/2012,0.052185258,0,0.027004357,0.11
2/1/2012,0.042613325,0.000416667,0.020662016,0.11
1/1/2012,0.061393497,0.000555556,0.012580814,0.14
12/1/2011,0.071263576,0.003333333,0.02132365,0.13
11/1/2011,0.079661092,0,0.020067523,0.14
10/1/2011,0.074108197,0,0.012309335,0.13
9/1/2011,0.133150809,0.019861111,0.008236574,0.27
8/1/2011,0.100516734,0,0.015733951,0.15
7/1/2011,0.213924602,0.013611111,0.017434903,0.06
6/1/2011,0.198272656,0.020555556,0.022985952,0.03
5/1/2011,0.466192124,0.794861111,0.040281963,-0.03
4/1/2011,0.297619657,0.081944444,0.047648918,0.03
3/1/2011,0.206042452,0.015416667,0.043112761,0.06
2/1/2011,0.290755102,0.047638889,0.033793446,0.03
1/1/2011,0.30082078,0.036666667,0.037964621,0.02
11/1/2010,0.287716502,0.009583333,0.006703139,0.05
10/1/2010,0.308080813,0.045277778,0.01022453,0.06
9/1/2010,0.488003378,0.725972222,0.014074327,-0.01
8/1/2010,0.175682624,0.068611111,0.011369706,0.16
7/1/2010,0.286808921,0.051944444,0.021139654,0.17
6/1/2010,0.161442076,0.009305556,0.016882291,0.28
5/1/2010,0.230743226,0.012361111,0.013010551,0.23
4/1/2010,0.249328572,0.016388889,0.027221024,0.15
3/1/2010,0.325935977,0.021388889,0.07886013,0.13
2/1/2010,0.182285462,0.000833333,0.06745608,0.2
1/1/2010,0.181500687,0.010555556,0.059762583,0.2
12/1/2009,0.220918995,0.0175,0.089416311,0.13
11/1/2009,0.14512768,0.001388889,0.193812568,0.08
10/1/2009,0.128309159,0.00375,0.161406021,0.14
9/1/2009,0.125804969,0.001388889,0.148489446,0.08
8/1/2009,0.101999031,0.006111111,0.22217965,0.03
