,Date,Target_FR12Mts,Class,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,0,19.039398000000002,32.625,24.5625,6.44,26.125,30.234375,27.15625,123.3125,10.27,0.09583333333333328
1,1/1/1999,0.09,0,19.369415,37.8125,24.296875,6.52,27.46875,29.484375,26.796875,127.65625,10.3,0.04380952380952384
2,2/1/1999,0.11,0,19.674046,34.0625,24.515625,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.026111111111111113
3,3/1/1999,0.17,0,20.257921,36.59375,24.9375,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.03236111111111111
4,4/1/1999,0.09,0,21.679529000000002,36.8125,28.6875,6.8,29.34375,29.265625,25.515625,133.25,10.05,0.09104166666666667
5,5/1/1999,0.1,0,20.372156,36.9375,28.125,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.00798611111111111
6,6/1/1999,0.06,0,,,,,,,,,,
7,7/1/1999,0.08,0,19.902519,40.015625,28.71875,6.51,27.5625,30.734375,24.640625,132.75,9.72,0.06340277777777778
8,8/1/1999,0.15,0,19.026707000000002,41.421875,28.953125,6.43,26.5,29.265625,25.0625,132.0625,9.66,0.056597222222222215
9,9/1/1999,0.12,0,,,,,,,,,,
10,10/1/1999,0.04,0,,,,,,,,,,
11,11/1/1999,-0.05,1,19.851746,46.671875,27.5,6.3,28.40625,28.953125,24.90625,139.28125,9.66,0.9547222222222219
12,12/1/1999,-0.11,1,19.30595,53.875,29.609375,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.9673611111111112
13,1/1/2000,-0.02,1,18.734768,50.5625,27.1875,6.27,27.203125,27.640625,23.234375,139.5625,9.49,0.9904861111111113
14,2/1/2000,-0.1,1,16.729284,55.875,25.6875,6.21,25.6875,24.28125,20.515625,137.4375,9.55,0.9474305555555557
15,3/1/2000,-0.22,1,,,,,,,,,,
16,4/1/2000,-0.13,1,,,,,,,,,,
17,5/1/2000,-0.12,1,20.346771,49.28125,29.5,5.87,27.109375,28.421875,23.9375,142.8125,9.46,0.9952083333333334
18,6/1/2000,-0.16,1,,,,,,,,,,
19,7/1/2000,-0.15,1,,,,,,,,,,
20,8/1/2000,-0.25,1,23.126524,56.53125,31.5625,5.87,24.921875,28.75,24.015625,152.34375,9.72,0.9677777777777777
21,9/1/2000,-0.27,1,23.558083,46.375,30.5625,5.65,24.890625,32.28125,24.984375,143.625,9.74,0.9827777777777778
22,10/1/2000,-0.26,1,23.354996,43.71875,31.25,5.43,24.578125,34.15625,26.71875,142.953125,9.74,0.9794444444444443
23,11/1/2000,-0.14,1,22.16186,34.75,30.1875,5.13,23.96875,34.140625,27.640625,132.28125,9.84,0.9211111111111112
24,12/1/2000,-0.13,1,,,,,,,,,,
25,1/1/2001,-0.17,1,,,,,,,,,,
26,2/1/2001,-0.1,1,22.298944,28.01,29.49,5.23,26.530001000000002,31.969998999999998,26.639999,123.949997,10.12,0.972986111111111
