,Date,Target_FR12Mts,Class,XLF,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,0,19.039398000000002,6.44,26.125,30.234375,27.15625,123.3125,10.27,0.41635260744106206
1,1/1/1999,0.09,0,19.369415,6.52,27.46875,29.484375,26.796875,127.65625,10.3,0.38281566646050835
2,2/1/1999,0.11,0,19.674046,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.34093714158184973
3,3/1/1999,0.17,0,20.257921,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.41226754455560416
4,4/1/1999,0.09,0,21.679529000000002,6.8,29.34375,29.265625,25.515625,133.25,10.05,0.361440805679257
5,5/1/1999,0.1,0,20.372156,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.3964781639538106
6,6/1/1999,0.06,0,,,,,,,,
7,7/1/1999,0.08,0,19.902519,6.51,27.5625,30.734375,24.640625,132.75,9.72,0.4911906496702035
8,8/1/1999,0.15,0,19.026707000000002,6.43,26.5,29.265625,25.0625,132.0625,9.66,0.666076353887063
9,9/1/1999,0.12,0,,,,,,,,
10,10/1/1999,0.04,0,20.765638,6.24,28.390625,29.9375,24.828125,137.0,9.71,0.7516103140755057
11,11/1/1999,-0.05,1,19.851746,6.3,28.40625,28.953125,24.90625,139.28125,9.66,0.780584417323985
12,12/1/1999,-0.11,1,19.30595,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.5616386026593077
13,1/1/2000,-0.02,1,18.734768,6.27,27.203125,27.640625,23.234375,139.5625,9.49,0.7817685015211056
14,2/1/2000,-0.1,1,16.729284,6.21,25.6875,24.28125,20.515625,137.4375,9.55,0.6045874602474682
15,3/1/2000,-0.22,1,,,,,,,,
16,4/1/2000,-0.13,1,19.902519,6.04,28.65625,28.484375,22.34375,145.09375,9.53,0.8347923991585326
17,5/1/2000,-0.12,1,20.346771,5.87,27.109375,28.421875,23.9375,142.8125,9.46,0.9631123954315973
18,6/1/2000,-0.16,1,19.293257,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.9910047781977966
19,7/1/2000,-0.15,1,,,,,,,,
20,8/1/2000,-0.25,1,23.126524,5.87,24.921875,28.75,24.015625,152.34375,9.72,0.998773773788829
21,9/1/2000,-0.27,1,23.558083,5.65,24.890625,32.28125,24.984375,143.625,9.74,0.9968240842687812
22,10/1/2000,-0.26,1,23.354996,5.43,24.578125,34.15625,26.71875,142.953125,9.74,0.9986309002814462
23,11/1/2000,-0.14,1,22.16186,5.13,23.96875,34.140625,27.640625,132.28125,9.84,0.9962264568234671
24,12/1/2000,-0.13,1,,,,,,,,
25,1/1/2001,-0.17,1,23.907393,5.34,28.57,31.32,26.48,137.020004,10.08,0.9756583961771851
26,2/1/2001,-0.1,1,22.298944,5.23,26.530001000000002,31.969998999999998,26.639999,123.949997,10.12,0.9075963338278259
27,3/1/2001,-0.02,1,21.559707999999997,5.09,26.09,31.290001,24.719998999999998,116.690002,10.12,0.647775436025633
28,4/1/2001,-0.15,1,22.339561,5.05,27.299999,32.799999,25.200001,126.660004,10.02,0.8798810664045182
29,5/1/2001,-0.15,1,23.322502,5.11,27.950001,33.029999,25.57,125.949997,10.04,0.8645886369228397
30,6/1/2001,-0.19,1,,,,,,,,
31,7/1/2001,-0.25,1,22.851341,4.84,28.9,30.870001000000002,25.049999,121.349998,10.21,0.6802841296401712
32,8/1/2001,-0.2,1,21.340374,4.83,26.370001000000002,29.77,25.17,114.150002,10.27,0.651929382195636
33,9/1/2001,-0.22,1,,,,,,,,
34,10/1/2001,-0.16,1,19.76442,4.46,24.18,27.719998999999998,24.9,105.800003,10.45,0.6295339186846365
35,11/1/2001,-0.18,1,21.047928,4.61,27.4,27.370001000000002,26.0,114.050003,10.26,0.7215239624325221
36,12/1/2001,-0.23,1,21.364744,4.64,28.6,28.030001000000002,25.4,114.300003,10.14,0.5406724038739509
37,1/1/2002,-0.24,1,21.12104,4.69,29.540001,27.02,25.23,113.18,10.17,0.3376177911708559
38,2/1/2002,-0.24,1,20.755484,4.65,29.700001,26.969998999999998,25.76,111.150002,10.21,0.2771639788870333
39,3/1/2002,-0.26,1,22.055239,4.74,30.040001,28.18,26.1,114.519997,10.0,0.4678980421873982
