,Date,Target_FR12Mts,Class,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,1,,,,,,,,,,
1,1/1/1999,0.09,1,,,,,,,,,,
2,2/1/1999,0.11,1,,,,,,,,,,
3,3/1/1999,0.17,1,,,,,,,,,,
4,4/1/1999,0.09,1,,,,,,,,,,
5,5/1/1999,0.1,1,,,,,,,,,,
6,6/1/1999,0.06,0,21.197197,40.484375,29.8125,6.56,29.78125,30.640625,25.59375,137.0,9.81,0.5727083333333333
7,7/1/1999,0.08,0,,,,,,,,,,
8,8/1/1999,0.15,1,,,,,,,,,,
9,9/1/1999,0.12,1,17.973192,41.25,28.75,6.33,26.078125,29.78125,22.75,128.75,9.73,0.30041666666666683
10,10/1/1999,0.04,0,20.765638,42.5,28.125,6.24,28.390625,29.9375,24.828125,137.0,9.71,0.14687499999999995
11,11/1/1999,-0.05,0,,,,,,,,,,
12,12/1/1999,-0.11,0,,,,,,,,,,
13,1/1/2000,-0.02,0,,,,,,,,,,
14,2/1/2000,-0.1,0,,,,,,,,,,
15,3/1/2000,-0.22,0,19.712124,60.5625,29.203125,6.16,29.265625,26.734375,21.21875,150.375,9.63,0.030833333333333327
16,4/1/2000,-0.13,0,19.902519,55.0,29.625,6.04,28.65625,28.484375,22.34375,145.09375,9.53,0.0067708333333333336
17,5/1/2000,-0.12,0,,,,,,,,,,
18,6/1/2000,-0.16,0,19.293257,54.1875,28.28125,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.10854166666666668
19,7/1/2000,-0.15,0,20.99411,51.3125,28.71875,5.83,26.0,27.671875,24.3125,143.0,9.64,0.04208333333333332
20,8/1/2000,-0.25,0,,,,,,,,,,
21,9/1/2000,-0.27,0,,,,,,,,,,
22,10/1/2000,-0.26,0,,,,,,,,,,
23,11/1/2000,-0.14,0,,,,,,,,,,
24,12/1/2000,-0.13,0,23.964256,31.3125,31.25,5.18,25.59375,33.1875,28.5625,131.1875,9.96,0.11447916666666666
25,1/1/2001,-0.17,0,23.907393,37.299999,31.370001000000002,5.34,28.57,31.32,26.48,137.020004,10.08,0.20354166666666665
26,2/1/2001,-0.1,0,,,,,,,,,,
27,3/1/2001,-0.02,0,,,,,,,,,,
28,4/1/2001,-0.15,0,,,,,,,,,,
29,5/1/2001,-0.15,0,,,,,,,,,,
30,6/1/2001,-0.19,0,23.070675,28.17,28.9,4.95,27.67,31.15,24.309998999999998,122.599998,10.04,0.07520833333333335
31,7/1/2001,-0.25,0,,,,,,,,,,
32,8/1/2001,-0.2,0,,,,,,,,,,
33,9/1/2001,-0.22,0,20.04874,19.25,23.67,4.44,22.969998999999998,29.26,25.059998999999998,104.440002,10.31,0.145
34,10/1/2001,-0.16,0,,,,,,,,,,
35,11/1/2001,-0.18,0,,,,,,,,,,
36,12/1/2001,-0.23,0,,,,,,,,,,
37,1/1/2002,-0.24,0,,,,,,,,,,
38,2/1/2002,-0.24,0,20.755484,20.65,26.6,4.65,29.700001,26.969998999999998,25.76,111.150002,10.21,0.27375
39,3/1/2002,-0.26,0,,,,,,,,,,
40,4/1/2002,-0.15,0,,,,,,,,,,
41,5/1/2002,-0.1,0,,,,,,,,,,
42,6/1/2002,-0.01,0,,,,,,,,,,
43,7/1/2002,0.09,1,,,,,,,,,,
44,8/1/2002,0.11,1,,,,,,,,,,
45,9/1/2002,0.22,1,16.791227,11.83,19.52,4.04,22.67,18.67,19.790001,81.790001,10.36,1.0
46,10/1/2002,0.19,1,,,,,,,,,,
47,11/1/2002,0.13,1,,,,,,,,,,
48,12/1/2002,0.26,1,,,,,,,,,,
49,1/1/2003,0.32,1,,,,,,,,,,
50,2/1/2003,0.35,1,,,,,,,,,,
51,3/1/2003,0.33,1,,,,,,,,,,
52,4/1/2003,0.21,1,,,,,,,,,,
53,5/1/2003,0.16,1,,,,,,,,,,
54,6/1/2003,0.17,1,,,,,,,,,,
55,7/1/2003,0.12,1,20.812347,17.6,23.129998999999998,4.87,27.59,20.639999,20.129998999999998,99.389999,10.13,0.9644791666666666
56,8/1/2003,0.1,1,,,,,,,,,,
57,9/1/2003,0.12,1,,,,,,,,,,
58,10/1/2003,0.08,0,,,,,,,,,,
59,11/1/2003,0.11,1,,,,,,,,,,
60,12/1/2003,0.09,1,22.851341,20.379998999999998,26.76,5.3,31.49,23.33,21.780001000000002,111.279999,10.31,0.017812499999999995
61,1/1/2004,0.04,0,,,,,,,,,,
62,2/1/2004,0.05,0,,,,,,,,,,
63,3/1/2004,0.04,0,,,,,,,,,,
64,4/1/2004,0.04,0,,,,,,,,,,
65,5/1/2004,0.06,0,,,,,,,,,,
