,Date,FR6Mts,Class,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.11,1,,,,,,,,,,
1,1/1/1999,0.04,0,,,,,,,,,,
2,2/1/1999,0.07,0,19.674046,34.0625,24.515625,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.20655092592592444
3,3/1/1999,0.0,0,20.257921,36.59375,24.9375,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.1440853174603182
4,4/1/1999,0.03,0,,,,,,,,,,
5,5/1/1999,0.07,0,20.372156,36.9375,28.125,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.1323031305114646
6,6/1/1999,0.07,0,21.197197,40.484375,29.8125,6.56,29.78125,30.640625,25.59375,137.0,9.81,0.1185522486772493
7,7/1/1999,0.05,0,,,,,,,,,,
8,8/1/1999,0.04,0,,,,,,,,,,
9,9/1/1999,0.17,1,,,,,,,,,,
10,10/1/1999,0.06,0,20.765638,42.5,28.125,6.24,28.390625,29.9375,24.828125,137.0,9.71,0.08935273368606739
11,11/1/1999,0.03,0,,,,,,,,,,
12,12/1/1999,-0.01,0,19.30595,53.875,29.609375,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.08560295414462124
13,1/1/2000,0.02,0,18.734768,50.5625,27.1875,6.27,27.203125,27.640625,23.234375,139.5625,9.49,0.12307694003527363
14,2/1/2000,0.11,1,16.729284,55.875,25.6875,6.21,25.6875,24.28125,20.515625,137.4375,9.55,0.415759038800704
15,3/1/2000,-0.04,0,,,,,,,,,,
16,4/1/2000,-0.01,0,,,,,,,,,,
17,5/1/2000,-0.07,0,,,,,,,,,,
18,6/1/2000,-0.1,0,19.293257,54.1875,28.28125,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.11405246913580279
19,7/1/2000,-0.04,0,,,,,,,,,,
20,8/1/2000,-0.19,0,23.126524,56.53125,31.5625,5.87,24.921875,28.75,24.015625,152.34375,9.72,0.12947156084656108
21,9/1/2000,-0.19,0,,,,,,,,,,
22,10/1/2000,-0.11,0,,,,,,,,,,
23,11/1/2000,-0.05,0,22.16186,34.75,30.1875,5.13,23.96875,34.140625,27.640625,132.28125,9.84,0.08578350970017647
24,12/1/2000,-0.07,0,23.964256,31.3125,31.25,5.18,25.59375,33.1875,28.5625,131.1875,9.96,0.1140650352733685
25,1/1/2001,-0.11,0,23.907393,37.299999,31.370001000000002,5.34,28.57,31.32,26.48,137.020004,10.08,0.005593253968253969
26,2/1/2001,-0.08,0,,,,,,,,,,
27,3/1/2001,-0.1,0,,,,,,,,,,
28,4/1/2001,-0.16,0,22.339561,28.809998999999998,29.629998999999998,5.05,27.299999,32.799999,25.200001,126.660004,10.02,0.02260471781305115
29,5/1/2001,-0.09,0,23.322502,27.629998999999998,30.870001000000002,5.11,27.950001,33.029999,25.57,125.949997,10.04,0.0013269400352733686
30,6/1/2001,-0.07,0,23.070675,28.17,28.9,4.95,27.67,31.15,24.309998999999998,122.599998,10.04,0.014565035273368606
31,7/1/2001,-0.07,0,,,,,,,,,,
32,8/1/2001,-0.03,0,,,,,,,,,,
33,9/1/2001,0.1,0,,,,,,,,,,
34,10/1/2001,0.02,0,,,,,,,,,,
35,11/1/2001,-0.06,0,21.047928,24.540001,26.5,4.61,27.4,27.370001000000002,26.0,114.050003,10.26,0.007126763668430335
36,12/1/2001,-0.13,0,,,,,,,,,,
37,1/1/2002,-0.19,0,,,,,,,,,,
38,2/1/2002,-0.17,0,,,,,,,,,,
39,3/1/2002,-0.29,0,,,,,,,,,,
40,4/1/2002,-0.18,0,,,,,,,,,,
41,5/1/2002,-0.12,0,21.429731,18.26,25.469998999999998,4.72,29.049999,26.25,24.85,107.220001,10.15,0.19327050264550255
42,6/1/2002,-0.11,0,,,,,,,,,,
43,7/1/2002,-0.06,0,,,,,,,,,,
44,8/1/2002,-0.07,0,19.073923,14.2,22.15,4.14,24.92,21.5,21.469998999999998,91.779999,10.25,0.24549360670193965
45,9/1/2002,0.04,0,,,,,,,,,,
46,10/1/2002,0.04,0,,,,,,,,,,
47,11/1/2002,0.03,0,,,,,,,,,,
48,12/1/2002,0.11,1,,,,,,,,,,
49,1/1/2003,0.15,1,,,,,,,,,,
50,2/1/2003,0.19,1,,,,,,,,,,
51,3/1/2003,0.18,1,,,,,,,,,,
52,4/1/2003,0.15,1,,,,,,,,,,
53,5/1/2003,0.1,0,19.95126,16.950001,21.98,4.68,26.74,22.01,20.059998999999998,96.949997,10.58,0.7512081128747788
54,6/1/2003,0.14,1,19.943136,17.07,22.389999,4.84,27.09,22.120001000000002,20.16,97.629997,10.52,0.7532914462081124
55,7/1/2003,0.14,1,,,,,,,,,,
56,8/1/2003,0.13,1,,,,,,,,,,
57,9/1/2003,0.13,1,,,,,,,,,,
58,10/1/2003,0.05,0,,,,,,,,,,
59,11/1/2003,0.06,0,,,,,,,,,,
60,12/1/2003,0.03,0,,,,,,,,,,
