Date,Target_FR12Mts,LR_Up_Prob,LR_Down_Prob,RF1_Up_Prob,RF1_Down_Prob,RF2_Up_Prob,RF2_Down_Prob,Avg_Up_3,Avg_Down_3,Avg_Up_2,Avg_Down_2
2/1/1999,0.11,0.75,0.25,0.59,0.72,0.61,0.37,0.49,0.33,0.6,0.54
2/1/1999,0.11,0.72,0.36,0.43,0.6,0.49,0.22,0.41,0.3,0.46,0.41
3/1/1999,0.17,0.59,0.31,0.58,0.73,0.68,0.37,0.46,0.35,0.63,0.55
3/1/1999,0.17,0.5,0.47,0.44,0.59,0.59,0.2,0.38,0.32,0.52,0.4
5/1/1999,0.1,0.54,0.4,0.47,0.73,0.56,0.11,0.39,0.31,0.52,0.42
6/1/1999,0.06,0.44,0.54,0.36,0.74,0.57,0.31,0.34,0.4,0.47,0.52
6/1/1999,0.06,0.36,0.53,0.49,0.69,0.49,0.16,0.33,0.35,0.49,0.42
9/1/1999,0.12,0.36,0.36,0.34,0.69,0.3,0.47,0.25,0.38,0.32,0.58
10/1/1999,0.04,0.26,0.76,0.18,0.82,0.15,0.78,0.15,0.59,0.16,0.8
10/1/1999,0.04,0.22,0.78,0.17,0.88,0.09,0.68,0.12,0.58,0.13,0.78
12/1/1999,-0.11,0.14,0.54,0.19,0.68,0.65,0.83,0.25,0.51,0.42,0.75
12/1/1999,-0.11,0.09,0.55,0.46,0.74,0.23,0.68,0.2,0.49,0.35,0.71
1/1/2000,-0.02,0.15,0.8,0.47,0.7,0.68,0.65,0.33,0.54,0.58,0.67
2/1/2000,-0.1,0.1,0.61,0.56,0.62,0.71,0.57,0.34,0.45,0.63,0.6
3/1/2000,-0.22,0.03,0.88,0.21,0.84,0.2,0.97,0.11,0.67,0.2,0.91
3/1/2000,-0.22,0.02,0.82,0.15,0.87,0.03,0.96,0.05,0.66,0.09,0.91
4/1/2000,-0.13,0.07,0.87,0.07,0.9,0.01,0.99,0.04,0.69,0.04,0.95
6/1/2000,-0.16,0.04,0.99,0.18,0.84,0.69,0.94,0.23,0.69,0.43,0.89
6/1/2000,-0.16,0.03,0.98,0.41,0.91,0.16,0.94,0.15,0.71,0.29,0.93
6/1/2000,-0.16,0.02,1,0.12,0.91,0.11,0.7,0.06,0.65,0.11,0.81
7/1/2000,-0.15,0.04,0.98,0.06,0.95,0.04,0.96,0.04,0.72,0.05,0.96
8/1/2000,-0.25,0.01,1,0.09,0.86,0.09,0.96,0.05,0.71,0.09,0.91
8/1/2000,-0.25,0,1,0.11,0.91,0.09,0.94,0.05,0.71,0.1,0.92
11/1/2000,-0.14,0.1,1,0.24,0.88,0.25,0.75,0.15,0.66,0.25,0.81
12/1/2000,-0.13,0.17,0.99,0.27,0.85,0.27,0.86,0.18,0.68,0.27,0.86
12/1/2000,-0.13,0.14,1,0.18,0.91,0.11,0.78,0.11,0.67,0.15,0.85
1/1/2001,-0.17,0.12,0.97,0.22,0.86,0.32,0.8,0.16,0.66,0.27,0.83
1/1/2001,-0.17,0.1,0.99,0.17,0.89,0.2,0.71,0.12,0.65,0.19,0.8
2/1/2001,-0.1,0.29,0.86,0.12,0.91,0.1,0.92,0.13,0.67,0.11,0.91
4/1/2001,-0.15,0.21,0.85,0.19,0.9,0.19,0.94,0.15,0.67,0.19,0.92
4/1/2001,-0.15,0.18,0.9,0.23,0.91,0.16,0.91,0.14,0.68,0.19,0.91
5/1/2001,-0.15,0.29,0.89,0.23,0.87,0.25,0.83,0.19,0.65,0.24,0.85
6/1/2001,-0.19,0.29,0.78,0.18,0.8,0.25,0.84,0.18,0.6,0.22,0.82
6/1/2001,-0.19,0.27,0.76,0.23,0.78,0.17,0.79,0.17,0.58,0.2,0.79
6/1/2001,-0.19,0.25,0.82,0.11,0.86,0.08,0.71,0.11,0.6,0.09,0.79
8/1/2001,-0.2,0.43,0.6,0.15,0.83,0.14,0.61,0.18,0.51,0.15,0.72
9/1/2001,-0.22,0.54,0.69,0.37,0.55,0.15,0.58,0.26,0.45,0.26,0.56
11/1/2001,-0.18,0.45,0.8,0.03,0.94,0.02,0.99,0.12,0.68,0.02,0.97
12/1/2001,-0.23,0.48,0.5,0.08,0.93,0.09,0.96,0.16,0.6,0.09,0.95
2/1/2002,-0.24,0.62,0.26,0.13,0.73,0.27,0.7,0.26,0.42,0.2,0.72
4/1/2002,-0.15,0.7,0.2,0.3,0.75,0.31,0.82,0.33,0.44,0.3,0.79
5/1/2002,-0.1,0.71,0.19,0.3,0.84,0.33,0.93,0.33,0.49,0.31,0.88
5/1/2002,-0.1,0.67,0.23,0.3,0.73,0.3,0.77,0.31,0.43,0.3,0.75
8/1/2002,0.11,0.66,0.09,0.96,0.21,1,0.01,0.66,0.08,0.98,0.11
9/1/2002,0.22,0.7,0.03,0.99,0.1,1,0,0.67,0.03,0.99,0.05
10/1/2002,0.19,0.47,0.09,0.98,0.22,0.98,0.01,0.61,0.08,0.98,0.11
1/1/2003,0.32,0.52,0.05,0.98,0.23,0.98,0.13,0.62,0.1,0.98,0.18
2/1/2003,0.35,0.51,0.03,0.97,0.23,0.96,0.13,0.61,0.1,0.97,0.18
3/1/2003,0.33,0.61,0.02,0.97,0.24,0.97,0.13,0.64,0.1,0.97,0.19
5/1/2003,0.16,0.69,0.01,0.79,0.33,0.67,0.18,0.54,0.13,0.73,0.26
6/1/2003,0.17,0.73,0.02,0.86,0.31,0.84,0.17,0.61,0.12,0.85,0.24
6/1/2003,0.17,0.66,0.01,0.81,0.28,0.73,0.02,0.55,0.08,0.77,0.15
7/1/2003,0.12,0.52,0.04,0.76,0.4,0.96,0.23,0.56,0.17,0.86,0.32
7/1/2003,0.12,0.51,0.04,0.82,0.44,0.76,0.17,0.52,0.16,0.79,0.3
8/1/2003,0.1,0.58,0.02,0.68,0.38,0.69,0.31,0.49,0.18,0.68,0.35
12/1/2003,0.09,0.5,0.04,0.08,0.16,0.02,0,0.15,0.05,0.05,0.08
1/1/2004,0.04,0.45,0.05,0.37,0.18,0.34,0.04,0.29,0.07,0.36,0.11
4/1/2004,0.04,0.61,0.07,0.66,0.22,0.9,0.02,0.54,0.07,0.78,0.12
5/1/2004,0.06,0.5,0.12,0.58,0.21,0.67,0.02,0.44,0.09,0.62,0.11
6/1/2004,0.04,0.44,0.14,0.48,0.21,0.63,0.03,0.39,0.09,0.55,0.12
6/1/2004,0.04,0.38,0.14,0.08,0.29,0.03,0.02,0.12,0.11,0.05,0.15
7/1/2004,0.12,0.41,0.1,0.17,0.42,0.25,0.17,0.21,0.17,0.21,0.3
8/1/2004,0.1,0.43,0.11,0.25,0.25,0.38,0.03,0.27,0.1,0.31,0.14
9/1/2004,0.1,0.44,0.06,0.17,0.21,0.18,0.01,0.2,0.07,0.18,0.11
11/1/2004,0.06,0.6,0.04,0.25,0.14,0.24,0.02,0.27,0.05,0.24,0.08
11/1/2004,0.06,0.54,0.02,0.22,0.17,0.07,0,0.21,0.05,0.14,0.09
1/1/2005,0.08,0.6,0.06,0.19,0.12,0.21,0.02,0.25,0.05,0.2,0.07
1/1/2005,0.08,0.55,0.05,0.11,0.1,0.04,0,0.18,0.04,0.07,0.05
2/1/2005,0.06,0.53,0.05,0.28,0.12,0.04,0,0.21,0.04,0.16,0.06
3/1/2005,0.1,0.55,0.06,0.27,0.19,0.29,0.02,0.28,0.07,0.28,0.1
3/1/2005,0.1,0.5,0.05,0.19,0.25,0.14,0.01,0.21,0.08,0.17,0.13
